lon_from,lat_from,psi_from,lon_to,lat_to,psi_to
-73.9202,40.567,0.523598,-73.9191,40.5684,1.0472
-73.9202,40.567,0.523598,-73.9181,40.5671,-3.59901e-07
-73.9357,40.5611,1.0472,-73.9356,40.5627,1.5708
-73.9357,40.5611,1.0472,-73.9347,40.5625,1.0472
-73.9339,40.5619,1.0472,-73.9338,40.5635,1.5708
-73.9438,40.553,2.0944,-73.9449,40.5544,2.0944
-73.957,40.5503,2.0944,-73.9588,40.5512,2.61799
-73.9407,40.535,1.42426e-07,-73.9388,40.5343,-0.523599
-73.9302,40.5635,1.0472,-73.9301,40.5651,1.5708
-73.9302,40.5635,1.0472,-73.9291,40.5649,1.0472
-73.9517,40.5286,-0.523599,-73.9506,40.5273,-1.0472
-73.9283,40.5643,1.0472,-73.9282,40.5659,1.5708
-73.9283,40.5643,1.0472,-73.9273,40.5657,1.0472
-73.9488,40.5349,-0.523599,-73.9476,40.5335,-1.0472
-73.9265,40.5651,1.0472,-73.9254,40.5665,1.0472
-73.9228,40.5667,1.0472,-73.9217,40.5681,1.0472
-73.9247,40.5659,1.0472,-73.9246,40.5675,1.5708
-73.9637,40.5435,1.5708,-73.9637,40.5452,1.5708
-73.9546,40.5506,1.5708,-73.9537,40.552,1.0472
-73.9454,40.5333,-0.523599,-73.9436,40.5325,-0.523599
-73.9454,40.5333,-0.523599,-73.9443,40.5319,-1.0472
-73.9443,40.5347,-0.523599,-73.9425,40.5339,-0.523599
-73.9396,40.5364,-4.3773e-07,-73.9375,40.5364,-4.98409e-07
-73.9396,40.5364,-4.3773e-07,-73.9378,40.5357,-0.523599
-73.958,40.528,-0.523599,-73.9562,40.5272,-0.523599
-73.9605,40.5457,1.5708,-73.9605,40.5473,1.5708
-73.9507,40.53,-0.523599,-73.9485,40.53,-2.61116e-07
-73.9517,40.5286,-0.523599,-73.9495,40.5287,-1.0472
-73.9306,40.544,0.523598,-73.9285,40.5441,-3.90596e-07
-73.9496,40.5314,-0.523599,-73.9475,40.5314,-3.19567e-07
-73.9591,40.5266,-0.523599,-73.9572,40.5258,-0.523599
-73.9411,40.5557,1.0472,-73.941,40.5573,1.5708
-73.9411,40.5389,-0.523599,-73.9393,40.5381,-0.523599
-73.9644,40.5417,2.0944,-73.9655,40.5431,2.0944
-73.9464,40.5357,-0.523599,-73.9445,40.5349,-0.523599
-73.9591,40.547,2.0944,-73.9609,40.5479,2.61799
-73.9591,40.547,2.0944,-73.9602,40.5484,2.0944
-73.9373,40.5374,3.72568e-07,-73.9354,40.5367,-0.523598
-73.9623,40.5449,2.0944,-73.9634,40.5463,2.0944
-73.9568,40.5474,1.5708,-73.9578,40.5488,2.0944
-73.9318,40.5427,-5.1704e-07,-73.9299,40.5419,-0.523599
-73.9221,40.5662,0.523598,-73.92,40.5663,-3.63902e-07
-73.9577,40.5259,1.36768e-08,-73.9559,40.5252,-0.523599
-73.9362,40.5389,-4.79352e-07,-73.9341,40.5389,-5.21018e-07
-73.9339,40.5399,4.68936e-07,-73.932,40.5391,-0.523598
-73.9613,40.5467,1.5708,-73.9613,40.5483,1.5708
-73.956,40.527,-0.523599,-73.9549,40.5256,-1.0472
-73.946,40.5318,1.29641e-07,-73.9441,40.5325,0.523599
-73.9666,40.5413,1.5708,-73.9666,40.5429,1.5708
-73.9247,40.5659,1.0472,-73.9228,40.5667,1.0472
-73.9594,40.5475,1.5708,-73.9585,40.549,1.0472
-73.9565,40.5253,-2.16126e-07,-73.9546,40.5246,-0.523599
-73.9431,40.5343,-0.523599,-73.9413,40.5335,-0.523599
-73.9539,40.5529,1.5708,-73.9539,40.5545,1.5708
-73.9678,40.5216,-1.0472,-73.9667,40.5202,-1.0472
-73.9678,40.5216,-1.0472,-73.9677,40.52,-1.5708
-73.9571,40.5507,1.5708,-73.958,40.5521,2.0944
-73.9428,40.536,-4.12085e-07,-73.9406,40.536,-4.52809e-07
-73.9276,40.5637,1.0472,-73.9275,40.5653,1.5708
-73.9283,40.5643,1.0472,-73.9265,40.5651,1.0472
-73.9719,40.5335,2.0944,-73.9729,40.5349,2.0944
-73.9631,40.523,-0.523599,-73.9619,40.5216,-1.0472
-73.9294,40.5629,1.0472,-73.9293,40.5645,1.5708
-73.9429,40.5549,1.0472,-73.9411,40.5557,1.0472
-73.9399,40.5385,-0.523599,-73.938,40.5377,-0.523599
-73.9616,40.5443,1.5708,-73.9626,40.5458,2.0944
-73.9616,40.5443,1.5708,-73.9616,40.5459,1.5708
-73.932,40.5627,1.0472,-73.9302,40.5635,1.0472
-73.9459,40.5502,2.0944,-73.947,40.5516,2.0944
-73.9331,40.5613,1.0472,-73.933,40.5629,1.5708
-73.9364,40.5406,-4.53852e-07,-73.9345,40.5399,-0.523599
-73.9655,40.5403,2.0944,-73.9665,40.5417,2.0944
-73.9349,40.5605,1.0472,-73.9348,40.5621,1.5708
-73.9357,40.5611,1.0472,-73.9339,40.5619,1.0472
-73.9368,40.5597,1.0472,-73.9357,40.5611,1.0472
-73.9491,40.5314,-2.84194e-07,-73.9469,40.5314,-2.92403e-07
-73.9512,40.5285,0.523599,-73.9491,40.5286,-5.71915e-08
-73.9536,40.5278,-0.523599,-73.9524,40.5264,-1.0472
-73.9439,40.5534,1.5708,-73.9449,40.5549,2.0944
-73.9439,40.5534,1.5708,-73.9429,40.5549,1.0472
-73.9269,40.5632,0.523598,-73.9247,40.5632,-4.01411e-07
-73.9562,40.5497,2.0944,-73.9572,40.5511,2.0944
-73.9562,40.5497,2.0944,-73.9563,40.5513,1.5708
-73.9247,40.5659,1.0472,-73.9236,40.5673,1.0472
-73.9525,40.5292,-0.523599,-73.9504,40.5292,-2.00192e-07
-73.9525,40.5292,-0.523599,-73.9507,40.5284,-0.523599
-73.9536,40.5278,-0.523599,-73.9514,40.5279,-1.0472
-73.9514,40.5306,-0.523599,-73.9493,40.5306,-2.35751e-07
-73.9514,40.5306,-0.523599,-73.9496,40.5298,-0.523599
-73.9543,40.5505,2.0944,-73.9554,40.5519,2.0944
-73.9451,40.5353,-0.523599,-73.9433,40.5345,-0.523599
-73.9677,40.5399,1.5708,-73.9687,40.5413,2.0944
-73.9624,40.5453,1.5708,-73.9634,40.5467,2.0944
-73.9313,40.5621,1.0472,-73.9294,40.5629,1.0472
-73.9426,40.5342,2.22634e-07,-73.9407,40.5335,-0.523599
-73.943,40.5381,-0.523599,-73.9411,40.5373,-0.523599
-73.9419,40.5395,-0.523599,-73.9401,40.5387,-0.523599
-73.945,40.5391,-0.523599,-73.9432,40.5383,-0.523599
-73.9578,40.5262,-0.523599,-73.956,40.5254,-0.523599
-73.965,40.5221,-0.523599,-73.9631,40.5213,-0.523599
-73.965,40.5221,-0.523599,-73.9638,40.5208,-1.0472
-73.9372,40.5412,0.523599,-73.9353,40.542,0.523599
-73.9665,40.5389,2.0944,-73.9683,40.5397,2.61799
-73.9665,40.5389,2.0944,-73.9676,40.5403,2.0944
-73.9265,40.5651,1.0472,-73.9264,40.5667,1.5708
-73.9342,40.5599,0.523599,-73.9324,40.5607,0.523599
-73.9607,40.5238,-0.523599,-73.9595,40.5224,-1.0472
-73.933,40.5431,-3.55596e-07,-73.9311,40.5423,-0.523599
-73.9583,40.5245,-1.50062e-07,-73.9564,40.5238,-0.523599
-73.946,40.5318,1.29641e-07,-73.9438,40.5318,1.01993e-07
-73.9431,40.5529,1.5708,-73.9441,40.5543,2.0944
-73.945,40.552,1.5708,-73.945,40.5536,1.5708
-73.9361,40.5591,0.523599,-73.9342,40.5599,0.523599
-73.9582,40.5493,1.0472,-73.9581,40.5509,1.5708
-73.9397,40.5574,1.0472,-73.9396,40.559,1.5708
-73.9397,40.5574,1.0472,-73.9387,40.5588,1.0472
-73.9397,40.5574,1.0472,-73.9379,40.5583,0.523599
-73.9361,40.5426,0.523599,-73.9342,40.5434,0.523599
-73.9608,40.5437,1.5708,-73.9608,40.5454,1.5708
-73.9313,40.5428,0.523598,-73.9294,40.5436,0.523598
-73.9313,40.5428,0.523598,-73.9292,40.5429,-6.59955e-07
-73.9536,40.5318,-0.523599,-73.9513,40.5319,-1.0472
-73.9705,40.5325,2.61799,-73.9723,40.5333,2.61799
-73.9449,40.5496,2.0944,-73.9467,40.5504,2.61799
-73.9449,40.5496,2.0944,-73.9459,40.551,2.0944
-73.9348,40.5422,0.523598,-73.9337,40.5436,1.0472
-73.9478,40.531,1.21211e-07,-73.9459,40.5302,-0.523599
-73.9612,40.5442,2.0944,-73.9623,40.5456,2.0944
-73.9485,40.5328,-0.523599,-73.9467,40.532,-0.523599
-73.9531,40.5277,-6.70479e-08,-73.9509,40.5277,-9.44564e-08
-73.9531,40.5277,-6.70479e-08,-73.9512,40.527,-0.523599
-73.9539,40.5533,1.5708,-73.9548,40.5547,2.0944
-73.9442,40.5514,1.5708,-73.9452,40.5529,2.0944
-73.9572,40.5483,2.0944,-73.9583,40.5497,2.0944
-73.9554,40.527,-0.523599,-73.9536,40.5262,-0.523599
-73.9392,40.5366,3.44926e-07,-73.937,40.5366,2.78018e-07
-73.9449,40.5335,-0.523599,-73.9431,40.5327,-0.523599
-73.9708,40.5353,2.0944,-73.9726,40.5362,2.61799
-73.9708,40.5353,2.0944,-73.9719,40.5367,2.0944
-73.9467,40.5324,-3.49667e-07,-73.9448,40.5317,-0.523599
-73.9578,40.5262,-0.523599,-73.9567,40.5248,-1.0472
-73.9459,40.5482,2.0944,-73.9477,40.549,2.61799
-73.9459,40.5482,2.0944,-73.947,40.5496,2.0944
-73.9662,40.5381,2.61799,-73.9681,40.5389,2.61799
-73.9676,40.5375,2.0944,-73.9687,40.5389,2.0944
-73.9554,40.5491,2.0944,-73.9564,40.5505,2.0944
-73.9715,40.5311,2.61799,-73.9734,40.5319,2.61799
-73.9634,40.5439,1.5708,-73.9644,40.5453,2.0944
-73.937,40.5395,-4.42986e-07,-73.9349,40.5395,-4.82463e-07
-73.937,40.5395,-4.42986e-07,-73.9351,40.5387,-0.523599
-73.9533,40.5298,-0.523599,-73.9514,40.529,-0.523599
-73.9612,40.5238,-0.523599,-73.9601,40.5224,-1.0472
-73.9543,40.5284,-0.523599,-73.9525,40.5276,-0.523599
-73.9548,40.5515,2.0944,-73.9559,40.5529,2.0944
-73.9381,40.5381,-4.61493e-07,-73.9362,40.5373,-0.523599
