lon,lat,psi,u,v,r,id
-73.9729,40.5237,0,0,0,0,0
-73.9711,40.5244,0.523599,3,-0.00526509,-4.04709e-08,4
-73.9699,40.5258,1.0472,3,-0.00538229,-1.83961e-07,7
-73.9689,40.5272,1.0472,3,-0.000251214,-5.7233e-08,9
-73.9681,40.5267,0.523599,3,0.00538133,8.98212e-08,8
-73.9692,40.5252,0.523599,3,-0.000246186,-1.40866e-07,6
-73.9678,40.5286,1.0472,3,-1.27201e-05,-2.11111e-07,12
-73.9671,40.5281,0.523599,3,0.00538202,2.30919e-07,11
-73.9671,40.5281,0.523599,3,0.00538202,2.30919e-07,11
-73.9667,40.53,1.0472,3,-7.01541e-07,-4.40451e-08,21
-73.966,40.5295,0.523599,3,0.00538199,2.0523e-07,20
-73.966,40.5295,0.523599,3,0.00538199,2.0523e-07,20
-73.9663,40.5275,0.523599,3,0.000251324,1.29078e-07,15
-73.9674,40.5261,0.523599,3,-1.20988e-05,-3.01352e-08,18
-73.9649,40.5309,0.523599,3,0.00538208,2.47946e-07,29
-73.9657,40.5314,1.0472,3,-3.34422e-07,-1.47646e-07,30
-73.9649,40.5309,0.523599,3,0.00538208,2.47946e-07,29
-73.9652,40.5289,0.523599,3,0.000251121,1.85951e-08,24
-73.9652,40.5289,0.523599,3,0.000251121,1.85951e-08,24
-73.9638,40.5322,1.0472,3,-0.00538137,-1.10576e-07,46
-73.9642,40.5303,0.523599,3,0.000251325,1.18568e-07,33
-73.9642,40.5303,0.523599,3,0.000251325,1.18568e-07,33
-73.9646,40.5328,1.0472,3,-3.55692e-07,-1.69793e-07,48
-73.9627,40.5336,1.0472,3,-0.00025111,-2.46978e-08,60
-73.9644,40.5283,0.523599,3,1.24442e-05,7.59759e-08,39
-73.9631,40.5317,0.523599,3,0.000251141,2.77372e-08,45
-73.9631,40.5317,0.523599,3,0.000251141,2.77372e-08,45
-73.9655,40.5269,0.523599,3,-9.40744e-07,-1.70381e-07,42
-73.962,40.5331,0.523599,3,0.00538165,2.45609e-07,59
-73.9634,40.5297,0.523599,3,1.30834e-05,3.89442e-07,54
-73.9634,40.5297,0.523599,3,1.30834e-05,3.89442e-07,54
-73.9635,40.5342,1.0472,3,-1.0137e-07,-4.58561e-08,69
-73.9609,40.5345,0.523599,3,0.005382,2.18443e-07,71
-73.9617,40.535,1.0472,3,-1.2696e-05,-2.00859e-07,72
-73.9609,40.5345,0.523599,3,0.005382,2.18443e-07,71
-73.9623,40.5311,0.523599,3,1.24423e-05,7.46807e-08,63
-73.9623,40.5311,0.523599,3,1.24423e-05,7.46807e-08,63
-73.9598,40.5359,1.0472,3,-0.00538133,-9.0879e-08,100
-73.9625,40.5356,1.0472,3,-3.20419e-07,-1.55224e-07,96
-73.9613,40.5325,0.523599,3,1.33013e-05,4.95525e-07,78
-73.9613,40.5325,0.523599,3,1.33013e-05,4.95525e-07,78
-73.9602,40.5339,0.523599,3,0.000251195,6.36122e-08,87
-73.9626,40.5291,0.523599,3,1.06913e-06,2.26074e-07,75
-73.9606,40.5364,1.0472,3,-7.37496e-07,-6.18675e-08,102
-73.9637,40.5277,0.523599,3,-1.64936e-07,-6.28835e-08,84
-73.9615,40.5305,0.523599,3,6.79925e-07,2.99572e-08,90
-73.9591,40.5353,0.523599,3,0.000251189,5.2344e-08,99
-73.9591,40.5353,0.523599,3,0.000251189,5.2344e-08,99
-73.9587,40.5373,1.0472,3,-0.000251542,-2.35647e-07,114
-73.958,40.5367,0.523599,3,0.00538164,2.3999e-07,113
-73.9614,40.537,1.0472,3,-3.31881e-07,-1.5873e-07,117
-73.9605,40.5319,0.523599,3,6.57676e-07,2.53558e-08,108
-73.9698,40.5274,1.5708,3,-0.00538199,-3.23563e-08,10
-73.9595,40.5378,1.0472,3,-1.70938e-07,-6.75448e-08,132
-73.9569,40.5381,0.523599,3,0.00538197,2.05679e-07,146
-73.9583,40.5347,0.523599,3,1.26364e-05,1.70879e-07,126
-73.9569,40.5381,0.523599,3,0.00538197,2.05679e-07,146
-73.9594,40.5333,0.523599,3,6.96793e-07,3.60328e-08,120
-73.9577,40.5387,1.0472,3,-1.23469e-05,-2.63482e-08,147
-73.9708,40.5237,0,3,0,0,3
-73.9688,40.5288,1.5708,3,-0.0053817,-6.11457e-08,13
-73.9688,40.5288,1.5708,3,-0.0053817,-6.11457e-08,13
-73.9558,40.5395,1.0472,3,-0.0053816,-2.24674e-07,166
-73.9608,40.5299,0.523599,3,1.01902e-07,3.06689e-08,129
-73.9573,40.5361,0.523599,3,1.28907e-05,2.94806e-07,141
-73.9573,40.5361,0.523599,3,1.28907e-05,2.94806e-07,141
-73.9562,40.5375,0.523599,3,0.000251278,1.03819e-07,150
-73.9603,40.5384,1.0472,3,-3.36151e-07,-1.6064e-07,153
-73.9585,40.5392,1.0472,3,-2.18728e-07,-1.04576e-07,162
-73.9619,40.5285,0.523599,3,-3.8888e-07,-1.87597e-07,135
-73.9597,40.5313,0.523599,3,3.76021e-07,1.68053e-07,138
-73.9566,40.5401,1.0472,3,-1.59841e-06,-4.8518e-07,177
-73.9551,40.5389,0.523599,3,0.000251202,5.86336e-08,165
-73.9551,40.5389,0.523599,3,0.000251202,5.86336e-08,165
-73.9677,40.5302,1.5708,3,-0.00538203,-2.2442e-07,22
-73.9586,40.5327,0.523599,3,3.71873e-07,1.66428e-07,156
-73.9677,40.5302,1.5708,3,-0.00538203,-2.2442e-07,22
-73.954,40.5404,0.523599,3,0.00538131,8.29443e-08,188
-73.9689,40.5245,-9.85818e-09,3,0.00538131,7.71577e-08,5
-73.9547,40.5409,1.0472,3,-0.000251113,-2.39675e-08,189
-73.9565,40.5355,0.523599,3,7.38364e-07,6.28517e-08,168
-73.9576,40.5341,0.523599,3,1.0777e-06,5.10132e-07,174
-73.9593,40.5398,1.0472,3,-1.49959e-07,-6.97619e-08,204
-73.9574,40.5406,1.0472,3,-1.8311e-07,-8.71234e-08,207
-73.9529,40.5417,1.0472,3,-0.00538128,-6.66246e-08,234
-73.9543,40.5383,0.523599,3,1.246e-05,8.40282e-08,201
-73.9554,40.5369,0.523599,3,7.7384e-07,7.76505e-08,195
-73.9666,40.5316,1.5708,3,-0.00538207,-2.46993e-07,31
-73.9555,40.5415,1.0472,3,-1.94864e-07,-7.08393e-08,216
-73.9666,40.5316,1.5708,3,-0.00538207,-2.46993e-07,31
-73.9537,40.5423,1.0472,3,-1.30157e-05,-3.56772e-07,239
-73.9589,40.5307,0.523599,3,3.52895e-07,1.70619e-07,192
-73.9533,40.5397,0.523599,3,1.23768e-05,4.39375e-08,219
-73.9533,40.5397,0.523599,3,1.23768e-05,4.39375e-08,219
-73.96,40.5293,0.523599,3,-6.31307e-08,-2.69201e-08,210
-73.9579,40.5321,0.523599,3,1.31779e-07,6.01527e-08,213
-73.9511,40.5426,0.523599,3,0.00538133,9.32051e-08,253
-73.966,40.5267,2.75232e-08,3,0.00538199,3.21842e-08,14
-73.9656,40.533,1.5708,3,-0.00538202,-2.20975e-07,49
-73.9671,40.5253,-8.62883e-09,3,0.00538199,2.13449e-07,17
-73.9671,40.5253,-8.62883e-09,3,0.00538199,2.13449e-07,17
-73.9519,40.5432,0.523599,3,0.00538203,2.28473e-07,270
-73.9563,40.542,1.0472,3,-5.6071e-08,-2.54979e-08,251
