lon,lat,psi,u,v,r,id
-73.9729,40.5237,0,0,0,0,0
-73.9723,40.5243,1.0472,3,-0.0310727,-4.62671e-07,6
-73.9727,40.5251,2.0944,3,-0.0314432,-1.14803e-07,11
-73.9728,40.5259,1.5708,3,0.0299553,5.86894e-08,13
-73.9728,40.5267,1.5708,3,0.00537925,2.01494e-08,19
-73.9728,40.5275,1.5708,3,0.00114355,8.78504e-08,24
-73.9728,40.5283,1.5708,3,0.000251047,2.92258e-08,29
-73.9728,40.5291,1.5708,3,5.56779e-05,9.68921e-08,34
-73.9728,40.5299,1.5708,3,1.24118e-05,5.5058e-08,39
-73.9728,40.5307,1.5708,3,2.83519e-06,4.95065e-08,44
-73.9728,40.5315,1.5708,3,7.3656e-07,5.94911e-08,49
-73.9728,40.5323,1.5708,3,2.64317e-07,5.71298e-08,54
-73.9728,40.5331,1.5708,3,9.61396e-08,2.57987e-08,59
-73.9728,40.534,1.5708,3,2.4489e-07,1.12457e-07,64
-73.9728,40.5348,1.5708,3,1.85027e-07,7.84772e-08,69
-73.9728,40.5356,1.5708,3,8.26364e-08,3.05587e-08,74
-73.9728,40.5364,1.5708,3,2.47455e-07,1.15784e-07,79
-73.9728,40.5372,1.5708,3,1.27724e-07,5.06721e-08,84
-73.9728,40.538,1.5708,3,1.32927e-07,5.76611e-08,89
-73.9733,40.5258,2.0944,3,-0.00559392,-3.7399e-08,14
-73.9728,40.5267,1.5708,3,0.00537925,2.01494e-08,19
-73.9728,40.5275,1.5708,3,0.00114355,8.78504e-08,24
-73.9728,40.5283,1.5708,3,0.000251047,2.92258e-08,29
-73.9728,40.5291,1.5708,3,5.56779e-05,9.68921e-08,34
-73.9728,40.5299,1.5708,3,1.24118e-05,5.5058e-08,39
-73.9728,40.5307,1.5708,3,2.83519e-06,4.95065e-08,44
-73.9728,40.5315,1.5708,3,7.3656e-07,5.94911e-08,49
-73.9728,40.5323,1.5708,3,2.64317e-07,5.71298e-08,54
-73.9728,40.5331,1.5708,3,9.61396e-08,2.57987e-08,59
-73.9728,40.534,1.5708,3,2.4489e-07,1.12457e-07,64
-73.9728,40.5348,1.5708,3,1.85027e-07,7.84772e-08,69
-73.9728,40.5356,1.5708,3,8.26364e-08,3.05587e-08,74
-73.9728,40.5364,1.5708,3,2.47455e-07,1.15784e-07,79
-73.9728,40.5372,1.5708,3,1.27724e-07,5.06721e-08,84
-73.9728,40.538,1.5708,3,1.32927e-07,5.76611e-08,89
-73.9733,40.5266,1.5708,3,0.0299685,4.56153e-08,98
-73.9734,40.5274,1.5708,3,0.00538118,2.51049e-08,179
-73.9734,40.5282,1.5708,3,0.00114388,5.85501e-08,184
-73.9723,40.5258,1.0472,3,0.0314383,7.09908e-08,12
-73.9728,40.5267,1.5708,3,0.00537925,2.01494e-08,19
-73.9728,40.5275,1.5708,3,0.00114355,8.78504e-08,24
-73.9728,40.5283,1.5708,3,0.000251047,2.92258e-08,29
-73.9728,40.5291,1.5708,3,5.56779e-05,9.68921e-08,34
-73.9728,40.5299,1.5708,3,1.24118e-05,5.5058e-08,39
-73.9728,40.5307,1.5708,3,2.83519e-06,4.95065e-08,44
-73.9728,40.5315,1.5708,3,7.3656e-07,5.94911e-08,49
-73.9728,40.5323,1.5708,3,2.64317e-07,5.71298e-08,54
-73.9728,40.5331,1.5708,3,9.61396e-08,2.57987e-08,59
-73.9728,40.534,1.5708,3,2.4489e-07,1.12457e-07,64
-73.9728,40.5348,1.5708,3,1.85027e-07,7.84772e-08,69
-73.9728,40.5356,1.5708,3,8.26364e-08,3.05587e-08,74
-73.9728,40.5364,1.5708,3,2.47455e-07,1.15784e-07,79
-73.9728,40.5372,1.5708,3,1.27724e-07,5.06721e-08,84
-73.9728,40.538,1.5708,3,1.32927e-07,5.76611e-08,89
-73.9728,40.5388,1.5708,3,6.33301e-08,2.40561e-08,94
-73.9724,40.5274,1.0472,3,0.0299739,4.29866e-08,23
-73.9728,40.5283,1.5708,3,0.000251047,2.92258e-08,29
-73.9728,40.5291,1.5708,3,5.56779e-05,9.68921e-08,34
-73.9728,40.5299,1.5708,3,1.24118e-05,5.5058e-08,39
-73.9728,40.5307,1.5708,3,2.83519e-06,4.95065e-08,44
-73.9728,40.5315,1.5708,3,7.3656e-07,5.94911e-08,49
-73.9728,40.5323,1.5708,3,2.64317e-07,5.71298e-08,54
-73.9728,40.5331,1.5708,3,9.61396e-08,2.57987e-08,59
-73.9728,40.534,1.5708,3,2.4489e-07,1.12457e-07,64
-73.9728,40.5348,1.5708,3,1.85027e-07,7.84772e-08,69
-73.9728,40.5356,1.5708,3,8.26364e-08,3.05587e-08,74
-73.9728,40.5364,1.5708,3,2.47455e-07,1.15784e-07,79
-73.9728,40.5372,1.5708,3,1.27724e-07,5.06721e-08,84
-73.9728,40.538,1.5708,3,1.32927e-07,5.76611e-08,89
-73.9728,40.5388,1.5708,3,6.33301e-08,2.40561e-08,94
-73.9724,40.529,1.0472,3,0.0299722,3.58205e-07,33
-73.9728,40.5299,1.5708,3,1.24118e-05,5.5058e-08,39
-73.9728,40.5307,1.5708,3,2.83519e-06,4.95065e-08,44
-73.9728,40.5315,1.5708,3,7.3656e-07,5.94911e-08,49
-73.9728,40.5323,1.5708,3,2.64317e-07,5.71298e-08,54
-73.9728,40.5331,1.5708,3,9.61396e-08,2.57987e-08,59
-73.9728,40.534,1.5708,3,2.4489e-07,1.12457e-07,64
-73.9728,40.5348,1.5708,3,1.85027e-07,7.84772e-08,69
-73.9728,40.5356,1.5708,3,8.26364e-08,3.05587e-08,74
-73.9728,40.5364,1.5708,3,2.47455e-07,1.15784e-07,79
-73.9728,40.5372,1.5708,3,1.27724e-07,5.06721e-08,84
-73.9728,40.538,1.5708,3,1.32927e-07,5.76611e-08,89
-73.9728,40.5388,1.5708,3,6.33301e-08,2.40561e-08,94
-73.9724,40.5306,1.0472,3,0.029972,2.66499e-07,43
-73.9728,40.5315,1.5708,3,7.3656e-07,5.94911e-08,49
-73.9728,40.5323,1.5708,3,2.64317e-07,5.71298e-08,54
-73.9728,40.5331,1.5708,3,9.61396e-08,2.57987e-08,59
-73.9728,40.534,1.5708,3,2.4489e-07,1.12457e-07,64
-73.9728,40.5348,1.5708,3,1.85027e-07,7.84772e-08,69
-73.9728,40.5356,1.5708,3,8.26364e-08,3.05587e-08,74
-73.9728,40.5364,1.5708,3,2.47455e-07,1.15784e-07,79
-73.9728,40.5372,1.5708,3,1.27724e-07,5.06721e-08,84
-73.9728,40.538,1.5708,3,1.32927e-07,5.76611e-08,89
-73.9728,40.5388,1.5708,3,6.33301e-08,2.40561e-08,94
-73.9728,40.5396,1.5708,3,1.07575e-07,4.87835e-08,274
-73.9724,40.5323,1.0472,3,0.0299717,1.29564e-07,53
-73.9728,40.5331,1.5708,3,9.61396e-08,2.57987e-08,59
-73.9728,40.534,1.5708,3,2.4489e-07,1.12457e-07,64
