lon,lat,psi,u,v,r,id
-73.9191,40.5684,1.0472,3,-0.00538202,-2.30821e-07,6145
-73.9181,40.5671,-3.59901e-07,3,0.00538169,6.03879e-08,6143
-73.9356,40.5627,1.5708,3,-0.0053817,-6.13191e-08,6123
-73.9347,40.5625,1.0472,3,-1.2636e-05,-1.714e-07,6122
-73.9338,40.5635,1.5708,3,-0.00538173,-7.90244e-08,6095
-73.9449,40.5544,2.0944,3,-0.000251193,-5.35501e-08,6091
-73.9588,40.5512,2.61799,3,-0.00538199,-3.23827e-08,6070
-73.9388,40.5343,-0.523599,3,0.00538209,2.54826e-07,6062
-73.9301,40.5651,1.5708,3,-0.00538171,-6.72924e-08,6050
-73.9291,40.5649,1.0472,3,-1.25127e-05,-1.08935e-07,6049
-73.9506,40.5273,-1.0472,3,0.00538199,3.24281e-08,6046
-73.9282,40.5659,1.5708,3,-0.00538171,-6.58883e-08,6037
-73.9273,40.5657,1.0472,3,-1.24489e-05,-7.79198e-08,6036
-73.9476,40.5335,-1.0472,3,0.00538171,6.74554e-08,6029
-73.9254,40.5665,1.0472,3,-1.24495e-05,-7.85807e-08,6022
-73.9217,40.5681,1.0472,3,-1.24284e-05,-6.83339e-08,6017
-73.9246,40.5675,1.5708,3,-0.00538169,-6.0316e-08,6016
-73.9637,40.5452,1.5708,3,-1.36276e-07,-6.47784e-08,6012
-73.9537,40.552,1.0472,3,0.00538205,2.33619e-07,6002
-73.9436,40.5325,-0.523599,3,0.00025127,9.39418e-08,5997
-73.9443,40.5319,-1.0472,3,0.005382,3.91195e-08,5996
-73.9425,40.5339,-0.523599,3,0.000251341,1.28565e-07,5991
-73.9375,40.5364,-4.98409e-07,3,1.06731e-06,2.25818e-07,5951
-73.9378,40.5357,-0.523599,3,0.00538198,2.01196e-07,5950
-73.9562,40.5272,-0.523599,3,1.25986e-05,1.49184e-07,5931
-73.9605,40.5473,1.5708,3,0.00025118,5.89958e-08,5922
-73.9485,40.53,-2.61116e-07,3,-0.00538152,-1.8446e-07,5920
-73.9495,40.5287,-1.0472,3,0.00538199,3.23936e-08,5918
-73.9285,40.5441,-3.90596e-07,3,0.0053813,7.57095e-08,5915
-73.9475,40.5314,-3.19567e-07,3,-0.00538131,-8.27589e-08,5911
-73.9572,40.5258,-0.523599,3,1.24294e-05,6.91186e-08,5898
-73.941,40.5573,1.5708,3,-0.005382,-2.18723e-07,5875
-73.9393,40.5381,-0.523599,3,0.000251146,3.37816e-08,5868
-73.9655,40.5431,2.0944,3,-1.24086e-05,-5.95714e-08,5850
-73.9445,40.5349,-0.523599,3,0.000251201,5.81075e-08,5838
-73.9609,40.5479,2.61799,3,-0.00538176,-9.17695e-08,5830
-73.9602,40.5484,2.0944,3,-1.24375e-05,-6.81148e-08,5829
-73.9354,40.5367,-0.523598,3,0.00538169,6.02027e-08,5822
-73.9634,40.5463,2.0944,3,-0.00025117,-4.26198e-08,5808
-73.9578,40.5488,2.0944,3,-0.00538164,-2.42227e-07,5806
-73.9299,40.5419,-0.523599,3,0.00538199,3.24356e-08,5795
-73.92,40.5663,-3.63902e-07,3,0.0053822,1.33267e-07,5784
-73.9559,40.5252,-0.523599,3,0.0053821,2.66519e-07,5775
-73.9341,40.5389,-5.21018e-07,3,1.2604e-05,1.55058e-07,5765
-73.932,40.5391,-0.523598,3,0.00538199,3.2417e-08,5772
-73.9613,40.5483,1.5708,3,-2.6449e-07,-1.27036e-07,5756
-73.9549,40.5256,-1.0472,3,0.00538171,6.80535e-08,5729
-73.9441,40.5325,0.523599,3,-0.005382,-2.09445e-07,5722
-73.9666,40.5429,1.5708,3,-4.79569e-07,-2.32968e-07,5715
-73.9228,40.5667,1.0472,3,-0.000251283,-9.7835e-08,5712
-73.9585,40.549,1.0472,3,0.00538204,2.3251e-07,5699
-73.9546,40.5246,-0.523599,3,0.00538199,2.04859e-07,5693
-73.9413,40.5335,-0.523599,3,0.000251376,1.38762e-07,5688
-73.9539,40.5545,1.5708,3,0.000251174,5.68595e-08,5685
-73.9667,40.5202,-1.0472,3,0.000251842,3.66267e-07,5680
-73.9677,40.52,-1.5708,3,0.00538209,8.20161e-08,5679
-73.958,40.5521,2.0944,3,-0.00538199,-2.07093e-07,5648
-73.9406,40.536,-4.52809e-07,3,3.42693e-07,1.51554e-07,5617
-73.9275,40.5653,1.5708,3,-0.00538211,-9.19218e-08,5615
-73.9265,40.5651,1.0472,3,-0.000251284,-9.74016e-08,5614
-73.9729,40.5349,2.0944,3,-1.29187e-05,-3.08286e-07,5587
-73.9619,40.5216,-1.0472,3,0.00538173,7.53794e-08,5580
-73.9293,40.5645,1.5708,3,-0.00538199,-3.23376e-08,5573
-73.9411,40.5557,1.0472,3,0.000251171,4.32739e-08,5569
-73.938,40.5377,-0.523599,3,0.000251275,8.93134e-08,5567
-73.9626,40.5458,2.0944,3,-0.00538135,-1.01209e-07,5556
-73.9616,40.5459,1.5708,3,0.000251224,7.96889e-08,5555
-73.9302,40.5635,1.0472,3,-0.000251334,-1.22918e-07,5552
-73.947,40.5516,2.0944,3,-0.000251148,-3.43675e-08,5549
-73.933,40.5629,1.5708,3,-0.00538199,-3.23747e-08,5541
-73.9345,40.5399,-0.523599,3,0.00538199,3.23572e-08,5888
-73.9665,40.5417,2.0944,3,-1.26662e-05,-1.83769e-07,5534
-73.9348,40.5621,1.5708,3,-0.00538218,-1.25785e-07,5532
-73.9339,40.5619,1.0472,3,-0.00025118,-4.79057e-08,5531
-73.9357,40.5611,1.0472,3,-0.000251122,-2.761e-08,5528
-73.9469,40.5314,-2.92403e-07,3,6.96356e-08,3.055e-08,5498
-73.9491,40.5286,-5.71915e-08,3,0.00538133,9.01523e-08,5732
-73.9524,40.5264,-1.0472,3,0.00538199,3.24192e-08,5486
-73.9449,40.5549,2.0944,3,-0.00538205,-2.36998e-07,5485
-73.9429,40.5549,1.0472,3,0.00538211,2.6426e-07,5483
-73.9247,40.5632,-4.01411e-07,3,0.00538202,2.20716e-07,5474
-73.9572,40.5511,2.0944,3,-0.00025123,-7.21221e-08,5459
-73.9563,40.5513,1.5708,3,0.00538141,1.32052e-07,5458
-73.9236,40.5673,1.0472,3,-1.26039e-05,-1.54976e-07,6015
-73.9504,40.5292,-2.00192e-07,3,-0.00538133,-8.91979e-08,5422
-73.9507,40.5284,-0.523599,3,0.000251144,2.98155e-08,5421
-73.9514,40.5279,-1.0472,3,0.00538199,3.23534e-08,5420
-73.9493,40.5306,-2.35751e-07,3,-0.00538154,-1.91909e-07,5419
-73.9496,40.5298,-0.523599,3,0.000251168,4.18416e-08,5418
-73.9554,40.5519,2.0944,3,-0.000251138,-2.72414e-08,5412
-73.9433,40.5345,-0.523599,3,0.000251341,1.29068e-07,5394
-73.9687,40.5413,2.0944,3,-0.00538201,-2.14101e-07,5380
-73.9634,40.5467,2.0944,3,-0.00538204,-2.32388e-07,5365
-73.9294,40.5629,1.0472,3,-0.00538199,-2.0381e-07,5362
-73.9407,40.5335,-0.523599,3,0.00538199,2.03483e-07,5349
-73.9411,40.5373,-0.523599,3,0.000251696,3.01935e-07,5347
-73.9401,40.5387,-0.523599,3,0.000251314,1.15642e-07,5342
-73.9432,40.5383,-0.523599,3,0.000251226,6.96928e-08,5333
-73.956,40.5254,-0.523599,3,1.26044e-05,1.55005e-07,5321
-73.9631,40.5213,-0.523599,3,1.30738e-05,3.84823e-07,5315
