lon,lat,psi,u,v,r,id
-73.9656,40.5427,1.5708,3,-1.51844e-07,-7.09437e-08,4521
-73.9656,40.5427,1.5708,3,-1.51844e-07,-7.09437e-08,4521
-73.9462,40.5336,-1.82456e-07,3,1.01974e-07,3.38151e-08,4225
-73.9438,40.553,2.0944,3,-0.00538205,-2.36474e-07,3359
-73.9565,40.5498,1.5708,3,-7.70276e-08,-3.41401e-08,4384
-73.9565,40.5498,1.5708,3,-7.70276e-08,-3.41401e-08,4384
-73.955,40.5303,-1.0472,3,0.00538171,6.93965e-08,4635
-73.9533,40.5519,1.5708,3,0.000251227,8.16397e-08,4345
-73.9472,40.5322,-3.31687e-07,3,2.80829e-07,1.21225e-07,4228
-73.9465,40.5319,-0.523599,3,0.00538171,6.62988e-08,2837
-73.9697,40.5363,2.0944,3,-0.000251162,-3.88065e-08,3228
-73.9697,40.5363,2.0944,3,-0.000251162,-3.88065e-08,3228
-73.9483,40.5308,-2.73866e-07,3,1.57102e-07,6.14245e-08,4231
-73.9465,40.5319,-0.523599,3,0.00538171,6.62988e-08,2837
-73.9514,40.5303,-1.51483e-07,3,1.18888e-07,4.99339e-08,4348
-73.9525,40.5289,-1.7243e-07,3,1.2615e-07,5.81889e-08,4343
-73.9535,40.5275,-1.5964e-07,3,4.42137e-07,2.13609e-07,4340
-73.9531,40.5292,-0.523599,3,0.000251493,1.96059e-07,2898
-73.952,40.5306,-0.523599,3,0.000251665,2.79827e-07,2904
-73.9509,40.532,-0.523599,3,0.000251754,3.22955e-07,2913
-73.9596,40.5447,2.0944,3,-0.000251702,-3.04808e-07,3062
-73.9596,40.5447,2.0944,3,-0.000251702,-3.04808e-07,3062
-73.9499,40.5334,-0.523599,3,0.00025141,1.54865e-07,2937
-73.9417,40.5562,1.5708,3,-0.00538137,-1.103e-07,4666
-73.9543,40.5501,2.0944,3,-0.000251377,-1.39144e-07,3003
-73.957,40.5254,-0.523599,3,0.0053818,1.15402e-07,3037
-73.957,40.5254,-0.523599,3,0.0053818,1.15402e-07,3037
-73.9615,40.5439,2.0944,3,-0.000251527,-2.19111e-07,3089
-73.9615,40.5439,2.0944,3,-0.000251527,-2.19111e-07,3089
-73.9376,40.5602,1.0472,3,1.0192e-07,3.39353e-08,5647
-73.956,40.5521,1.5708,3,-3.49446e-07,-1.55031e-07,4319
-73.956,40.5521,1.5708,3,-3.49446e-07,-1.55031e-07,4319
-73.9494,40.5294,-3.39491e-08,3,2.87819e-07,1.2358e-07,4307
-73.9546,40.5261,-1.44211e-07,3,1.01886e-07,4.41048e-08,4409
-73.9542,40.5278,-0.523599,3,0.000251739,3.16081e-07,2952
-73.9729,40.5316,2.0944,3,-1.24902e-05,-9.81785e-08,3387
-73.9462,40.5478,2.0944,3,-0.000251815,-3.59882e-07,3588
-73.9462,40.5478,2.0944,3,-0.000251815,-3.59882e-07,3588
-73.9562,40.5493,2.0944,3,-0.000252165,-5.24013e-07,3012
-73.9542,40.5529,1.0472,3,0.00538201,2.13604e-07,5506
-73.9634,40.5431,2.0944,3,-0.000251146,-3.3814e-08,3137
-73.9634,40.5431,2.0944,3,-0.000251146,-3.3814e-08,3137
-73.9557,40.5488,1.5708,3,0.00538133,8.95913e-08,4469
-73.9557,40.5488,1.5708,3,0.00538133,8.95913e-08,4469
-73.9665,40.5409,2.0944,3,-0.00538203,-2.25241e-07,3311
-73.947,40.5484,2.0944,3,-0.00025175,-3.28376e-07,3503
-73.947,40.5484,2.0944,3,-0.00025175,-3.28376e-07,3503
-73.9213,40.5656,0.523598,3,1.28849e-07,6.16247e-08,5820
-73.9559,40.5267,-7.10931e-08,3,-0.00538156,-2.03702e-07,4367
-73.9548,40.5281,-6.66636e-08,3,-0.00538138,-1.13952e-07,4379
-73.9602,40.5481,1.5708,3,-5.81628e-07,-2.81693e-07,4505
-73.9602,40.5481,1.5708,3,-5.81628e-07,-2.81693e-07,4505
-73.9612,40.5463,2.0944,3,-0.00538205,-2.35981e-07,3221
-73.9726,40.5313,2.61799,3,-0.00538209,-8.26177e-08,2013
-73.9665,40.5409,2.0944,3,-0.00538203,-2.25241e-07,3311
-73.9612,40.5463,2.0944,3,-0.00538205,-2.35981e-07,3221
-73.94,40.5571,1.0472,3,1.29413e-05,3.19624e-07,5859
-73.9585,40.549,1.0472,3,0.00538204,2.3251e-07,5690
-73.9641,40.5232,-1.0472,3,0.00538209,8.19321e-08,1825
-73.94,40.5571,1.0472,3,1.29413e-05,3.19624e-07,5859
-73.9576,40.548,1.5708,3,0.00538133,8.90347e-08,4514
-73.9576,40.548,1.5708,3,0.00538133,8.90347e-08,4514
-73.9409,40.5368,-3.56936e-07,3,7.29966e-07,6.07428e-08,4246
-73.942,40.5354,-3.57204e-07,3,7.70101e-07,7.87579e-08,4252
-73.9451,40.5492,2.0944,3,-0.000251412,-1.56239e-07,3605
-73.9424,40.5393,-0.523599,3,0.00538199,2.03926e-07,3028
-73.954,40.5316,-0.523599,3,0.000251616,2.62849e-07,3134
-73.943,40.534,-4.28e-07,3,6.83655e-07,3.29374e-08,4264
-73.954,40.5316,-0.523599,3,0.000251616,2.62849e-07,3134
-73.9391,40.5379,-0.523599,3,0.00538199,3.2397e-08,2810
-73.9402,40.5365,-0.523599,3,0.00538199,3.23903e-08,2819
-73.9294,40.5436,0.523598,3,1.6966e-07,7.92471e-08,5195
-73.9305,40.5422,0.523599,3,-1.29917e-07,-6.16741e-08,5214
-73.9424,40.5393,-0.523599,3,0.00538199,2.03926e-07,3028
-73.953,40.533,-0.523599,3,0.000251818,3.61286e-07,3158
-73.953,40.533,-0.523599,3,0.000251818,3.61286e-07,3158
-73.9583,40.526,-0.523599,3,0.000251161,4.0725e-08,3056
-73.9572,40.5274,-0.523599,3,0.000251211,6.53656e-08,3086
-73.9572,40.5274,-0.523599,3,0.000251211,6.53656e-08,3086
-73.9562,40.5288,-0.523599,3,0.0002512,5.99886e-08,3152
-73.9651,40.5395,2.61799,3,-0.00538209,-8.05474e-08,1979
-73.9594,40.5471,1.5708,3,0.00538137,1.10164e-07,4547
-73.9594,40.5471,1.5708,3,0.00538137,1.10164e-07,4547
-73.9562,40.5288,-0.523599,3,0.0002512,5.99886e-08,3152
-73.9648,40.5417,1.5708,3,0.00025111,2.43275e-08,4796
-73.9548,40.5478,2.0944,3,-0.000251342,-1.29231e-07,3271
-73.9548,40.5478,2.0944,3,-0.000251342,-1.29231e-07,3271
-73.9687,40.5377,2.0944,3,-0.000251146,-3.09092e-08,3353
-73.9687,40.5377,2.0944,3,-0.000251146,-3.09092e-08,3353
-73.9435,40.5379,-0.523599,3,0.00538198,2.03068e-07,3070
-73.9413,40.5351,-0.523598,3,0.00538199,3.24205e-08,2882
-73.9445,40.5365,-0.523599,3,0.00538198,2.02458e-07,3064
-73.9594,40.5246,-0.523599,3,0.000251219,6.91537e-08,3146
-73.9594,40.5246,-0.523599,3,0.000251219,6.91537e-08,3146
-73.9435,40.5379,-0.523599,3,0.00538198,2.03068e-07,3070
