lon,lat
-73.9729,40.5237
-73.9711,40.5244
-73.9699,40.5258
-73.9681,40.5267
-73.9671,40.5281
-73.966,40.5295
-73.9649,40.5309
-73.9638,40.5322
-73.962,40.5331
-73.9602,40.5339
-73.9583,40.5347
-73.9573,40.5361
-73.9554,40.5369
-73.9536,40.5377
-73.9517,40.5385
-73.9499,40.5393
-73.948,40.5402
-73.9462,40.541
-73.9451,40.5423
-73.945,40.5439
-73.945,40.5456
-73.945,40.5472
-73.945,40.5488
-73.945,40.5504
-73.9439,40.5518
-73.9428,40.5532
-73.9418,40.5546
-73.9408,40.556
-73.9397,40.5574
-73.9379,40.5583
-73.9368,40.5597
-73.9349,40.5605
-73.9331,40.5613
-73.9313,40.5621
-73.9294,40.5629
-73.9276,40.5637
-73.9257,40.5645
-73.9239,40.5653
-73.9221,40.5662
-73.9202,40.567
-73.9191,40.5684
